1A22      300000.000  5.47712    59   0.03100  0.21500  0.04900  0.00900  0.02600  0.01900  0.00400  0.00700  0.00200  0.00000
1AO7       23000.000  4.36173    41   0.03200  0.01400  0.00400  0.01200  0.00600  0.00300  0.00000  0.00100  0.00200  0.00300
1B2S    43000000.000  7.63347    32   0.17200  0.13900  0.09600  0.11800  0.04600  0.02500  0.04400  0.03700  0.00700  0.00100
1B2U    37000000.000  7.56820    29   0.23200  0.21900  0.14300  0.14800  0.10300  0.05700  0.03800  0.02600  0.01500  0.00200
1B3S   390000000.000  8.59106    29   0.24300  0.25800  0.21800  0.16000  0.04600  0.05100  0.04200  0.06600  0.05100  0.00200
1B41     5050000.000  6.70329    48   0.46700  0.47200  0.32600  0.28800  0.22600  0.16700  0.09600  0.11000  0.09000  0.06600
1BD2       96000.000  4.98227    37   0.16800  0.13600  0.14700  0.10800  0.04300  0.04800  0.04500  0.01100  0.00400  0.00900
1BJ1       41000.000  4.61278    38   0.10800  0.06300  0.05800  0.03500  0.02700  0.02000  0.01600  0.01300  0.01700  0.00500
1BRS   370000000.000  8.56820    34   0.41200  0.33200  0.34100  0.26300  0.22300  0.13000  0.11500  0.09900  0.06800  0.03800
1CBW      170000.000  5.23045    34   0.08900  0.01100  0.03700  0.00600  0.01100  0.00000  0.00100  0.00600  0.00400  0.00000
1CZ8       41000.000  4.61278    37   0.13400  0.10000  0.06000  0.03000  0.05000  0.03200  0.02100  0.00900  0.00400  0.01600
1EMV    72400000.000  7.85974    40   0.77200  0.67800  0.61200  0.49600  0.35900  0.30700  0.21100  0.18200  0.18300  0.14200
1FC2      190000.000  5.27875    33   0.07600  0.08300  0.06900  0.04300  0.02000  0.02500  0.00900  0.00400  0.00600  0.00100
1FR2    26000000.000  7.41497    37   0.64500  0.39600  0.34800  0.35900  0.18200  0.16900  0.15100  0.13000  0.12600  0.10500
1FSS    68000000.000  7.83251    41   0.84000  0.77200  0.65400  0.51000  0.44500  0.30900  0.21700  0.11300  0.10300  0.15200
1GL0      103000.000  5.01284    34   0.07800  0.04500  0.05600  0.02300  0.00200  0.00000  0.00100  0.00000  0.00100  0.00200
1GL1      800000.000  5.90309    35   0.16900  0.07700  0.03400  0.00300  0.00700  0.00100  0.00400  0.00100  0.00000  0.00000
1IAR    13000000.000  7.11394    42   0.86400  0.82500  0.76600  0.68800  0.60600  0.54900  0.45200  0.42900  0.40500  0.32900
1JRH      609000.000  5.78462    44   0.34500  0.30500  0.28600  0.23500  0.13400  0.14400  0.13000  0.05200  0.05700  0.05300
1JTD     7700000.000  6.88649    57   0.21500  0.12600  0.13400  0.07500  0.12200  0.08600  0.03600  0.02000  0.02400  0.00800
1JTG      108000.000  5.03342    64   0.33700  0.12100  0.26800  0.21900  0.18000  0.12300  0.09700  0.05600  0.02400  0.04700
1KTZ      740000.000  5.86923    18   0.45400  0.44100  0.35100  0.23900  0.20800  0.13300  0.10200  0.07900  0.08900  0.06100
1LFD     7700000.000  6.88649    25   0.34300  0.31700  0.26300  0.21600  0.13500  0.13100  0.14000  0.11000  0.10000  0.09600
1LP9       31000.000  4.49136    58   0.33800  0.23000  0.16600  0.18500  0.14600  0.11200  0.10300  0.09700  0.07700  0.06100
1MAH   780000000.000  8.89209    47   0.36000  0.28400  0.30100  0.24800  0.07200  0.15400  0.16500  0.07900  0.11800  0.06200
1MHP      250000.000  5.39794    34   0.04600  0.00300  0.05700  0.02300  0.01800  0.01200  0.00700  0.00300  0.04100  0.02900
1MI5       34800.000  4.54158    56   0.03900  0.01300  0.00500  0.02200  0.00500  0.01200  0.00700  0.02200  0.01600  0.03800
1MLC     2500000.000  6.39794    29   0.11400  0.06900  0.08700  0.06200  0.05000  0.02500  0.02300  0.04200  0.02400  0.04300
1MQ8      133000.000  5.12385    28   0.05200  0.06700  0.05000  0.02800  0.02200  0.02100  0.01500  0.03600  0.02200  0.00400
1NMB      161000.000  5.20683    61   0.81400  0.64900  0.58400  0.49800  0.45700  0.38400  0.29900  0.24600  0.20700  0.19500
1OGA       28000.000  4.44716    38   0.12300  0.05000  0.03100  0.01900  0.02200  0.03400  0.02000  0.01300  0.00900  0.00100
1QSE       58000.000  4.76343    41   0.12900  0.13500  0.08500  0.02200  0.07200  0.05700  0.03300  0.03400  0.04800  0.00700
1REW      600000.000  5.77815    55   0.07800  0.43600  0.16100  0.03600  0.11800  0.02400  0.12800  0.10700  0.07500  0.08600
1TM1     5600000.000  6.74819    32   0.16100  0.09900  0.12100  0.05600  0.02400  0.00200  0.01600  0.01900  0.02900  0.01400
1X1X      897000.000  5.95279    37   0.32500  0.36300  0.28700  0.22400  0.17200  0.14600  0.09300  0.04200  0.03300  0.07500
1YY9     1460000.000  6.16435    35   0.01300  0.03100  0.01900  0.02300  0.01000  0.00900  0.01000  0.00500  0.00200  0.00100
2AJF       71200.000  4.85248    35   0.03100  0.04300  0.01100  0.02500  0.04800  0.03800  0.00000  0.00800  0.00200  0.00600
2AK4       65600.000  4.81690    42   0.00700  0.00900  0.00400  0.01200  0.00200  0.02100  0.00600  0.01100  0.00400  0.00200
2BNR       24000.000  4.38021    48   0.16800  0.11800  0.14400  0.06600  0.07500  0.06400  0.05700  0.03900  0.04600  0.03400
2C5D    21000000.000  7.32222    43   0.90600  0.82400  0.75700  0.68500  0.62200  0.55400  0.43000  0.32500  0.26000  0.27800
2DSQ      671000.000  5.82672    28   0.11800  0.09900  0.12700  0.09100  0.06300  0.08200  0.04700  0.05500  0.00700  0.00500
2FTL      990000.000  5.99564    33   0.00100  0.00400  0.00000  0.00000  0.00000  0.00000  0.00100  0.00000  0.00000  0.00000
2GOX      404000.000  5.60638    32   0.64000  0.57800  0.44700  0.41500  0.35000  0.30000  0.23300  0.22100  0.21400  0.13500
2GYK    17300000.000  7.23805    38   0.38800  0.20800  0.25600  0.17000  0.12700  0.06900  0.07400  0.10600  0.03000  0.00600
2I26      210000.000  5.32222    31   0.08400  0.04800  0.04900  0.06400  0.00700  0.02700  0.00400  0.04100  0.04600  0.00100
2JCC       41000.000  4.61278    50   0.30800  0.23300  0.21800  0.17800  0.13900  0.10100  0.10300  0.09200  0.09600  0.05700
2P5E      570000.000  5.75587    44   0.22700  0.17500  0.08600  0.12500  0.04700  0.03100  0.02000  0.00500  0.03000  0.01900
2PYE       17800.000  4.25042    40   0.27000  0.19400  0.13500  0.12300  0.08300  0.04000  0.04500  0.04000  0.02200  0.01500
2QJ9      400000.000  5.60206    50   0.04900  0.00100  0.12500  0.03800  0.09900  0.03400  0.03200  0.00000  0.00000  0.00900
2QJA      300000.000  5.47712    51   0.00000  0.19600  0.25300  0.14500  0.10000  0.03400  0.07800  0.00700  0.02500  0.00300
2QJB      280000.000  5.44716    47   0.38300  0.32000  0.11500  0.12300  0.09000  0.11100  0.07400  0.03400  0.06500  0.01100
2SIC     6500000.000  6.81291    32   0.00000  0.00100  0.00100  0.00000  0.00000  0.00000  0.00000  0.00000  0.01200  0.00100
2UWE       33000.000  4.51851    53   0.43800  0.26500  0.22900  0.22300  0.17200  0.10200  0.09000  0.12500  0.09100  0.07800
2VIR      110000.000  5.04139    29   0.17900  0.17800  0.10600  0.10900  0.02600  0.05500  0.06600  0.03700  0.01900  0.00600
2VLN   100000000.000  8.00000    38   0.63400  0.59700  0.50700  0.38600  0.29100  0.26300  0.21700  0.14200  0.11600  0.10100
2VLO    34200000.000  7.53403    38   0.46600  0.36800  0.32900  0.24400  0.21100  0.18500  0.15400  0.05700  0.08000  0.04700
2VLP    65200000.000  7.81425    39   0.33200  0.45900  0.35600  0.22600  0.24500  0.26600  0.21400  0.14100  0.09800  0.08700
2VLQ    79100000.000  7.89818    38   0.68100  0.48300  0.44600  0.30100  0.29400  0.27600  0.23600  0.19800  0.18200  0.13300
